amfi_code,scheme_name,benchmark,n_obs,cagr,benchmark_cagr,sharpe,sortino,alpha_annualized,beta,r_squared,beta_pvalue,max_drawdown,tracking_error,information_ratio,score_cagr,score_sharpe,score_sortino,score_alpha,score_max_dd,score_te,peer_score
119551,SBI Bluechip Fund - Regular Plan - Growth,NIFTY 100 TRI,1149,0.25804686425584,0.02355994075285861,1.208266567372718,1.2615289943427044,0.16494622793232172,-0.03175144113890973,0.0008869788879322105,0.31314302723084525,-0.1501238549864537,0.1911825685163082,1.0475092660610412,77.5,92.5,92.5,77.5,60.0,65.0,78.875
119552,SBI Bluechip Fund - Direct Plan - Growth,NIFTY 100 TRI,1149,0.21524235873769704,0.02355994075285861,0.9532794968660105,0.9777153793808936,0.13198563868025134,-0.0261593075135134,0.0005850821704542764,0.4127055818020542,-0.11803493502764328,0.19212721030300678,0.8698064714392648,65.0,72.5,67.5,65.0,75.0,57.5,67.625
119598,SBI Small Cap Fund - Regular Plan - Growth,BSE 250 SmallCap TRI,1149,0.32423536152454613,0.2788632953140542,0.9453082575156094,0.9873121508152453,0.247020051448291,-0.04755096959775986,0.0017537597358294743,0.15601308620827864,-0.28706005721764627,0.34189223193733875,0.11912710149285516,97.5,67.5,70.0,100.0,12.5,2.5,65.625
119599,SBI Small Cap Fund - Direct Plan - Growth,BSE 250 SmallCap TRI,1149,0.02054484701809378,0.2788632953140542,-0.05718662582818005,-0.056633432882067306,-0.01648418889435768,0.01125315688373436,9.972525841672741e-05,0.7352553909039755,-0.5257422117012853,0.33191982074745935,-0.6362845982863206,7.5,22.5,22.5,10.0,2.5,10.0,12.75
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,CRISIL Dynamic Gilt Index,1149,0.05889418716346717,0.11067422152118489,-0.2265753866279158,-0.227402426919718,-0.008953658794723048,-0.0009345364767221882,9.468818853441974e-07,0.9737156921055461,-0.04328728923970041,0.057299147611369804,-0.8054075878251246,17.5,10.0,10.0,17.5,90.0,87.5,32.75
100016,HDFC Top 100 Fund - Regular Plan - Growth,NIFTY 100 TRI,1149,0.026370743672111008,0.02355994075285861,-0.20151706755966933,-0.20559939888515658,-0.03131164040908975,-0.05826843143880896,0.0026650326981330075,0.08026442483699579,-0.24734440880673306,0.19928360293890288,0.02466526450662981,10.0,15.0,12.5,2.5,17.5,44.99999999999999,14.5
125497,HDFC Top 100 Fund - Direct Plan - Growth,NIFTY 100 TRI,1149,0.19017795344711463,0.02355994075285861,0.7757902498211209,0.8055793255593555,0.11547087555219014,0.04882040425957738,0.0018401792783069304,0.14617594874598647,-0.15200013055606393,0.19107208897596129,0.7747442142598979,62.5,57.49999999999999,57.49999999999999,62.5,57.49999999999999,67.5,60.5
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,NIFTY Midcap 150 TRI,1149,0.3012315310072722,0.3180370545276039,1.0936987435346308,1.1219807879224635,0.20036364394291423,0.031025866332786627,0.0008529288178186212,0.32261879958326434,-0.16217208574644837,0.2562467912802067,-0.04039351668613532,85.0,85.0,85.0,80.0,52.5,25.0,73.125
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,NIFTY Midcap 150 TRI,1149,0.11301817123279978,0.3180370545276039,0.30061192104254786,0.2995516940159634,0.04228842808237886,0.059234290852116935,0.003310040283920568,0.051214132882800585,-0.21117279560132163,0.2483769060504393,-0.6534089157000015,37.5,35.0,35.0,35.0,30.0,30.0,34.25
100025,HDFC Short Term Debt Fund - Regular - Growth,CRISIL Short Term Bond Index,1149,0.04458209619173137,0.06788924321003287,-0.5670947928476847,-0.5675801902143536,-0.022326894206118744,-0.11301724095546058,0.00022412309196451208,0.6121984498336961,-0.04308263824636326,0.039470286724425166,-0.5206393266611187,12.5,5.0,5.0,7.5,92.5,90.0,28.625
120503,ICICI Pru Bluechip Fund - Regular - Growth,NIFTY 100 TRI,1149,0.18785325598262204,0.02355994075285861,0.7979728586052847,0.8191333878114075,0.10941554175440234,-0.04026895236982066,0.0013974446083316883,0.20543745183411466,-0.13897862823061596,0.19294776031543664,0.7516355727784761,60.0,60.0,60.0,57.49999999999999,67.5,52.5,59.875
120504,ICICI Pru Bluechip Fund - Direct - Growth,NIFTY 100 TRI,1149,0.2329511862010305,0.02355994075285861,1.0265242847993004,1.0453012982629641,0.14800336116974935,0.016232169761417004,0.0002121612907587389,0.6218551541356455,-0.12588275606922464,0.1915870037972257,0.9482900695155401,70.0,77.5,75.0,70.0,72.5,62.5,71.875
120505,ICICI Pru Midcap Fund - Regular - Growth,NIFTY Midcap 150 TRI,1149,0.3282740607461121,0.3180370545276039,1.1801011976606492,1.2394973210257498,0.22799624838761545,-0.0015796991881794746,2.13066727128286e-06,0.9605807485934985,-0.18188513572116333,0.26284713806272025,0.0387732868172593,100.0,90.0,90.0,95.0,40.0,17.5,78.25
120506,ICICI Pru Value Discovery Fund - Regular - Growth,NIFTY 500 TRI,1149,0.1708486725575018,0.2359452964884461,0.6488787755249532,0.6620144066394678,0.09065207055935974,0.054834777448800893,0.002491949295318485,0.09077441813504389,-0.19825658262982698,0.20078114747926654,-0.25035254465685003,55.00000000000001,52.5,50.0,50.0,35.0,42.50000000000001,48.5
120507,ICICI Pru Liquid Fund - Regular - Growth,CRISIL Liquid Fund AI Index,1149,0.07237539728384412,0.06788924321003287,0.49572339295331147,0.49856736374499183,0.0025434456763313135,0.0595024719979801,0.003883860762567748,0.034666697740993915,-0.0009773140045926695,0.006926096906153283,0.5840375924344076,30.0,45.0,42.5,25.0,100.0,97.5,51.125
118632,Nippon India Large Cap Fund - Regular - Growth,NIFTY 100 TRI,1149,0.24049492662391758,0.02355994075285861,1.0816591793457044,1.1051295488187916,0.15275097995783407,-0.008353832126961997,5.791756270123738e-05,0.7966457465470189,-0.17414075086657282,0.19211519250390102,0.9747761553918138,75.0,82.5,82.5,75.0,45.0,60.0,71.625
118633,Nippon India Large Cap Fund - Direct - Growth,NIFTY 100 TRI,1149,0.16274217354504272,0.02355994075285861,0.6452074382933216,0.6808941689975897,0.08905682404498708,-0.03663900671860934,0.0011382947171084679,0.2531567885063235,-0.18629743138595561,0.19344939246000745,0.6438036297292346,47.5,50.0,52.5,47.5,37.5,47.5,47.25
